Track name, Artist name, Album, Playlist name, Type
God Help Us All (Demo Version),Noel Gallagher's High Flying Birds,It’s A Beautiful World,Favourites 2019/02/20,Playlist track
Go Fuck Yourself,Two Feet,First Steps,Favourites 2019/02/20,Playlist track
The Best Day,Atmosphere,"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",Favourites 2019/02/20,Playlist track
Starts,Charles William,Starts,Favourites 2019/02/20,Playlist track
Legendary,Welshly Arms,Legendary - EP,Favourites 2019/02/20,Playlist track
One Percent,Gorillaz,The Now Now,Favourites 2019/02/20,Playlist track
Clint Eastwood,Gorillaz,Gorillaz,Favourites 2019/02/20,Playlist track
DARE,Gorillaz,Demon Days,Favourites 2019/02/20,Playlist track
Plans,88rising,Head In The Clouds,Favourites 2019/02/20,Playlist track
My Blood,Twenty One Pilots,My Blood,Favourites 2019/02/20,Playlist track
Saturnz Barz (feat. Popcaan),Gorillaz,Humanz (Deluxe),Favourites 2019/02/20,Playlist track
19-2000,Gorillaz,Gorillaz,Favourites 2019/02/20,Playlist track
Do It All The Time,I DONT KNOW HOW BUT THEY FOUND ME,Do It All The Time,Favourites 2019/02/20,Playlist track
Give Me a Try,The Wombats,Glitterbug,Favourites 2019/02/20,Playlist track
SLOW DANCING IN THE DARK,Joji,SLOW DANCING IN THE DARK,Favourites 2019/02/20,Playlist track
do re mi,Blackbear,digital druglord,Favourites 2019/02/20,Playlist track
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,Stereo Hearts (feat. Adam Levine),Favourites 2019/02/20,Playlist track
1950,King Princess,1950,Favourites 2019/02/20,Playlist track
Vowels,Capital Cities,Vowels,Favourites 2019/02/20,Playlist track
Alone On The Rope,Noel Gallagher's High Flying Birds,If Love Is The Law,Favourites 2019/02/20,Playlist track
Under The Bridge,Red Hot Chili Peppers,Greatest Hits,Favourites 2019/02/20,Playlist track
Sweater Weather,The Neighbourhood,I Love You.,Favourites 2019/02/20,Playlist track
Talking to Myself,Linkin Park,One More Light,Favourites 2019/02/20,Playlist track
Nico And The Niners,Twenty One Pilots,Trench,Favourites 2019/02/20,Playlist track
Chlorine,Twenty One Pilots,Trench,Favourites 2019/02/20,Playlist track
Strangers,Sigrid,Strangers,Favourites 2019/02/20,Playlist track
Don't Kill My Vibe,Sigrid,Don't Kill My Vibe - EP,Favourites 2019/02/20,Playlist track
High Five,Sigrid,Raw,Favourites 2019/02/20,Playlist track
The Hype,Twenty One Pilots,Trench,Favourites 2019/02/20,Playlist track
Pet Cheetah,Twenty One Pilots,Trench,Favourites 2019/02/20,Playlist track
you should see me in a crown,Billie Eilish,you should see me in a crown,Favourites 2019/02/20,Playlist track
Couldn't Give It Away,Bad Sounds,Get Better,Favourites 2019/02/20,Playlist track
Trip Switch,Nothing but Thieves,Trip Switch,Favourites 2019/02/20,Playlist track
High Hopes,Panic! At the Disco,Pray For The Wicked,Favourites 2019/02/20,Playlist track
The Ballad Of Mona Lisa,Panic! At the Disco,Vices & Virtues,Favourites 2019/02/20,Playlist track
Young Dumb & Broke,Khalid,American Teen,Favourites 2019/02/20,Playlist track
Don't Threaten Me With A Good Time,Panic! At the Disco,Death Of A Bachelor,Favourites 2019/02/20,Playlist track
Wouldn't It Be Nice (Stereo),The Beach Boys,Pet Sounds (50th Anniversary Edition),Favourites 2019/02/20,Playlist track
Dream On (Album Version),Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,Favourites 2019/02/20,Playlist track
Every Breath You Take,The Police,The Very Best Of Sting And The Police,Favourites 2019/02/20,Playlist track
Hurt,Johnny Cash,Hurt (International),Favourites 2019/02/20,Playlist track
Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,Favourites 2019/02/20,Playlist track
Stay Frosty Royal Milk Tea,Fall Out Boy,MANIA,Favourites 2019/02/20,Playlist track
Falling Down (Bonus Track),Lil Peep,"Come Over When You're Sober, Pt. 2",Favourites 2019/02/20,Playlist track
Sickly Sweet Holidays,Dallon Weekes,Xmas Jambz,Favourites 2019/02/20,Playlist track
Spent the Day in Bed,Morrissey,Low in High School,Favourites 2019/02/20,Playlist track
"Hey Look Ma, I Made It",Panic! At the Disco,Pray For The Wicked,Favourites 2019/02/20,Playlist track
Dona Maria,Thiago Brava,Dona Maria,Favourites 2019/02/20,Playlist track
Maremotos,Supercombo,Maremotos,Favourites 2019/02/20,Playlist track
Lay It On Me,Vance Joy,Lay It On Me,Favourites 2019/02/20,Playlist track
Fever Fever,Melody Club,Fever Fever,Favourites 2019/02/20,Playlist track
Swimming Pool Summer,Capital Cities,Swimming Pool Summer,Favourites 2019/02/20,Playlist track
Ghosts,The Presets,Ghosts,Favourites 2019/02/20,Playlist track
Quesadilla,Walk The Moon,Walk The Moon,Favourites 2019/02/20,Playlist track
Verstrahlt,Marteria,Zum Glück in die Zukunft,Favourites 2019/02/20,Playlist track
Prey,The Neighbourhood,Wiped Out!,Favourites 2019/02/20,Playlist track
Cool,Soccer Mommy,Clean,Favourites 2019/02/20,Playlist track
When You Die,MGMT,Little Dark Age,Favourites 2019/02/20,Playlist track
Kids,MGMT,Oracular Spectacular,Favourites 2019/02/20,Playlist track
